# Simulation Parameters
# Box dimensions: 5 x 40 x 5
# Temperature: 0.8
# Total steps: 100000
# Log interval: 200
# Max displacement: 0.125
# Distortions: d1=(0.999995,1.00001,0.999995), d2=(1.000005,0.99999,1.000005)
# Reset sampling at: [40, 10000, 20000]
# Console freq: 50
# Trajectory freq/file: 200/data/vle-0.80-reference_trajectory.xyz

# step   E_pot     acc     w1        avg1      gamma1    w2        avg2      gamma2
 11800   -13.670  0.850  1.000e+00  1.000e+00    -0.018  1.000e+00  1.000e+00    -0.018
 12000   -11.099  0.950  1.000e+00  1.000e+00    -0.020  1.000e+00  1.000e+00    -0.020
 12200   -16.702  0.875  1.000e+00  1.000e+00    -0.011  9.998e-01  1.000e+00    -0.011
 12400   -12.026  0.875  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 12600   -11.661  0.925  9.999e-01  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
 12800   -11.242  0.900  1.000e+00  1.000e+00    -0.010  1.000e+00  1.000e+00    -0.010
 13000   -13.059  1.000  1.000e+00  1.000e+00    -0.006  9.998e-01  1.000e+00    -0.006
 13200   -11.399  0.875  9.996e-01  1.000e+00    -0.003  1.000e+00  1.000e+00    -0.003
 13400   -13.238  0.900  1.000e+00  1.000e+00    -0.005  9.999e-01  1.000e+00    -0.005
 13600   -15.927  0.825  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 13800   -16.323  0.875  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 14000   -12.636  0.975  9.999e-01  1.000e+00    -0.011  1.000e+00  1.000e+00    -0.011
 14200   -13.517  0.900  9.998e-01  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 14400   -15.802  0.925  1.000e+00  1.000e+00    -0.017  1.000e+00  1.000e+00    -0.017
 14600   -15.247  0.950  1.000e+00  1.000e+00    -0.018  1.000e+00  1.000e+00    -0.018
 14800   -14.978  0.925  9.998e-01  1.000e+00    -0.019  1.000e+00  1.000e+00    -0.019
 15000   -11.110  0.975  1.000e+00  1.000e+00    -0.023  1.000e+00  1.000e+00    -0.023
 15200   -11.818  0.900  1.000e+00  1.000e+00    -0.022  1.000e+00  1.000e+00    -0.022
 15400   -11.614  0.950  1.000e+00  1.000e+00    -0.020  9.999e-01  1.000e+00    -0.020
 15600   -12.699  0.900  1.000e+00  1.000e+00    -0.017  9.998e-01  1.000e+00    -0.017
 15800   -12.616  0.925  9.998e-01  1.000e+00    -0.017  1.000e+00  1.000e+00    -0.017
 16000   -13.059  0.850  1.000e+00  1.000e+00    -0.018  9.999e-01  1.000e+00    -0.018
 16200   -17.295  1.000  1.000e+00  1.000e+00    -0.018  1.000e+00  1.000e+00    -0.018
 16400   -14.068  0.825  1.000e+00  1.000e+00    -0.020  1.000e+00  1.000e+00    -0.020
 16600   -16.853  0.900  1.000e+00  1.000e+00    -0.021  9.999e-01  1.000e+00    -0.021
 16800   -13.033  0.900  1.000e+00  1.000e+00    -0.019  1.000e+00  1.000e+00    -0.019
 17000   -13.661  0.925  1.000e+00  1.000e+00    -0.020  1.000e+00  1.000e+00    -0.020
 17200   -12.372  0.975  9.999e-01  1.000e+00    -0.020  1.000e+00  1.000e+00    -0.020
 17400    -9.802  1.000  1.000e+00  1.000e+00    -0.021  1.000e+00  1.000e+00    -0.021
 17600   -12.197  0.925  1.000e+00  1.000e+00    -0.020  9.998e-01  1.000e+00    -0.020
 17800   -10.231  0.950  1.000e+00  1.000e+00    -0.021  9.999e-01  1.000e+00    -0.021
 18000   -17.974  0.950  9.997e-01  1.000e+00    -0.021  1.000e+00  1.000e+00    -0.021
 18200   -10.464  0.950  1.000e+00  1.000e+00    -0.019  9.997e-01  1.000e+00    -0.019
 18400   -18.278  0.800  1.000e+00  1.000e+00    -0.019  1.000e+00  1.000e+00    -0.019
 18600   -14.413  0.925  1.000e+00  1.000e+00    -0.017  9.999e-01  1.000e+00    -0.017
 18800   -10.042  0.950  1.000e+00  1.000e+00    -0.017  1.000e+00  1.000e+00    -0.017
 19000    -8.068  0.950  9.999e-01  1.000e+00    -0.016  1.000e+00  1.000e+00    -0.016
 19200   -12.267  0.850  9.999e-01  1.000e+00    -0.017  1.000e+00  1.000e+00    -0.017
 19400   -14.668  0.875  1.000e+00  1.000e+00    -0.017  1.000e+00  1.000e+00    -0.017
 19600   -12.069  0.950  1.000e+00  1.000e+00    -0.016  1.000e+00  1.000e+00    -0.016
 19800   -13.420  0.800  1.000e+00  1.000e+00    -0.015  9.998e-01  1.000e+00    -0.015
 20000   -12.616  0.850  1.000e+00  1.000e+00     0.067  1.000e+00  1.000e+00     0.067
 20200    -9.290  0.900  1.000e+00  1.000e+00    -0.037  1.000e+00  1.000e+00    -0.037
 20400   -14.728  0.975  9.999e-01  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 20600   -14.267  0.875  9.996e-01  1.000e+00    -0.018  1.000e+00  1.000e+00    -0.018
 20800   -13.752  0.950  1.000e+00  1.000e+00    -0.017  9.999e-01  1.000e+00    -0.017
 21000   -10.451  0.950  1.000e+00  1.000e+00    -0.010  1.000e+00  1.000e+00    -0.010
 21200   -15.788  0.950  9.998e-01  1.000e+00    -0.005  1.000e+00  1.000e+00    -0.005
 21400   -13.924  0.925  1.000e+00  1.000e+00    -0.005  1.000e+00  1.000e+00    -0.005
 21600   -17.340  0.875  9.999e-01  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
 21800   -11.529  0.975  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
 22000   -10.222  0.950  1.000e+00  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
 22200   -17.488  0.950  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 22400   -18.604  0.850  1.000e+00  1.000e+00    -0.011  9.997e-01  1.000e+00    -0.011
 22600   -15.202  0.875  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 22800   -16.372  0.875  9.999e-01  1.000e+00    -0.004  1.000e+00  1.000e+00    -0.004
 23000   -18.295  0.825  9.997e-01  1.000e+00    -0.000  1.000e+00  1.000e+00    -0.000
 23200   -12.199  0.950  1.000e+00  1.000e+00    -0.001  9.999e-01  1.000e+00    -0.001
 23400   -20.130  0.800  9.998e-01  1.000e+00    -0.002  1.000e+00  1.000e+00    -0.002
 23600   -15.436  0.875  1.000e+00  1.000e+00     0.000  9.998e-01  1.000e+00     0.000
 23800   -26.768  0.825  1.000e+00  1.000e+00    -0.002  1.000e+00  1.000e+00    -0.002
 24000   -25.832  0.850  9.998e-01  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
 24200   -20.023  0.850  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 24400   -14.592  0.925  1.000e+00  1.000e+00    -0.004  1.000e+00  1.000e+00    -0.004
 24600   -14.475  0.850  1.000e+00  1.000e+00    -0.004  1.000e+00  1.000e+00    -0.004
 24800   -15.390  0.900  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 25000   -15.952  0.875  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 25200   -22.993  0.925  1.000e+00  1.000e+00    -0.007  9.998e-01  1.000e+00    -0.007
 25400   -16.734  0.875  9.999e-01  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
 25600   -17.417  0.825  9.999e-01  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
 25800   -18.030  0.800  1.000e+00  1.000e+00    -0.011  1.000e+00  1.000e+00    -0.011
 26000   -17.660  0.900  1.000e+00  1.000e+00    -0.012  9.999e-01  1.000e+00    -0.012
 26200   -10.689  0.975  9.996e-01  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 26400   -13.076  0.950  9.998e-01  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 26600   -13.206  0.975  1.000e+00  1.000e+00    -0.012  9.998e-01  1.000e+00    -0.012
 26800   -14.835  0.850  1.000e+00  1.000e+00    -0.011  9.997e-01  1.000e+00    -0.011
 27000   -15.700  0.900  1.000e+00  1.000e+00    -0.011  1.000e+00  1.000e+00    -0.011
 27200   -20.738  0.950  9.998e-01  1.000e+00    -0.011  1.000e+00  1.000e+00    -0.011
 27400   -17.353  0.900  9.999e-01  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
 27600   -13.795  0.900  9.999e-01  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
 27800   -16.330  0.850  9.996e-01  1.000e+00    -0.015  1.000e+00  1.000e+00    -0.015
 28000    -9.816  0.925  1.000e+00  1.000e+00    -0.015  1.000e+00  1.000e+00    -0.015
 28200   -20.736  0.925  9.999e-01  1.000e+00    -0.016  1.000e+00  1.000e+00    -0.016
 28400   -17.244  0.975  1.000e+00  1.000e+00    -0.017  1.000e+00  1.000e+00    -0.017
 28600   -21.589  0.950  1.000e+00  1.000e+00    -0.018  1.000e+00  1.000e+00    -0.018
 28800   -25.411  0.950  1.000e+00  1.000e+00    -0.018  1.000e+00  1.000e+00    -0.018
 29000   -16.786  0.825  1.000e+00  1.000e+00    -0.017  1.000e+00  1.000e+00    -0.017
 29200   -13.266  0.925  1.000e+00  1.000e+00    -0.015  9.999e-01  1.000e+00    -0.015
 29400   -18.923  0.850  1.000e+00  1.000e+00    -0.015  1.000e+00  1.000e+00    -0.015
 29600   -18.951  0.850  1.000e+00  1.000e+00    -0.016  1.000e+00  1.000e+00    -0.016
 29800   -14.792  0.850  1.000e+00  1.000e+00    -0.015  9.998e-01  1.000e+00    -0.015
 30000   -10.632  0.975  1.000e+00  1.000e+00    -0.015  1.000e+00  1.000e+00    -0.015
 30200   -22.721  0.750  1.000e+00  1.000e+00    -0.015  1.000e+00  1.000e+00    -0.015
 30400   -13.205  0.850  9.998e-01  1.000e+00    -0.015  1.000e+00  1.000e+00    -0.015
 30600   -13.921  0.800  9.999e-01  1.000e+00    -0.014  1.000e+00  1.000e+00    -0.014
 30800   -15.136  0.825  1.000e+00  1.000e+00    -0.014  9.999e-01  1.000e+00    -0.014
