# Simulation Parameters
# Box dimensions: 5 x 40 x 5
# Temperature: 0.8
# Total steps: 100000
# Log interval: 200
# Max displacement: 0.125
# Distortions: d1=(0.999995,1.00001,0.999995), d2=(1.000005,0.99999,1.000005)
# Reset sampling at: [40, 10000, 20000]
# Console freq: 50
# Trajectory freq/file: 200/data/vle-0.80-reference_trajectory.xyz

# step   E_pot     acc     w1        avg1      gamma1    w2        avg2      gamma2
 51600   -13.171  0.900  1.000e+00  1.000e+00    -0.009  9.999e-01  1.000e+00    -0.009
 51800   -24.326  0.775  9.997e-01  1.000e+00    -0.010  1.000e+00  1.000e+00    -0.010
 52000   -15.157  0.950  1.000e+00  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
 52200   -16.568  0.900  1.000e+00  1.000e+00    -0.009  9.998e-01  1.000e+00    -0.009
 52400   -14.323  1.000  1.000e+00  1.000e+00    -0.008  9.999e-01  1.000e+00    -0.008
 52600   -15.733  0.950  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 52800   -14.810  0.925  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 53000   -10.091  0.875  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 53200   -15.431  0.925  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 53400   -18.052  0.875  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 53600   -11.515  0.950  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
 53800   -18.790  0.900  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 54000   -17.725  0.775  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
 54200   -13.946  0.875  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 54400   -10.455  0.875  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
 54600   -15.433  0.975  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 54800   -15.588  0.925  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 55000   -12.935  0.975  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 55200   -15.223  0.850  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 55400   -15.551  0.875  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 55600   -17.139  0.925  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 55800   -13.756  0.950  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 56000   -12.865  0.925  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 56200   -17.700  0.850  9.998e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 56400    -9.775  0.900  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 56600   -17.143  0.900  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 56800    -9.905  0.975  9.997e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 57000   -18.275  0.950  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
 57200   -18.093  0.925  9.997e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 57400   -11.349  1.000  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 57600   -18.993  0.800  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 57800   -13.902  0.925  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
 58000   -16.259  0.925  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 58200   -14.405  0.950  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 58400   -16.461  0.950  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 58600   -16.718  0.925  1.000e+00  1.000e+00    -0.005  1.000e+00  1.000e+00    -0.005
 58800   -21.603  0.875  9.999e-01  1.000e+00    -0.005  1.000e+00  1.000e+00    -0.005
 59000   -14.173  0.950  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 59200   -13.806  0.925  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 59400    -9.719  0.975  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 59600   -14.597  0.875  9.998e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 59800    -8.856  0.975  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 60000   -19.106  0.900  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 60200   -15.693  0.900  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 60400   -11.104  0.950  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
 60600   -18.115  0.925  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 60800   -16.535  0.925  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
 61000    -9.744  0.925  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 61200   -14.170  0.925  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 61400   -13.392  0.900  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 61600   -10.869  0.875  9.998e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 61800   -12.657  1.000  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 62000    -9.408  0.950  1.000e+00  1.000e+00    -0.006  9.997e-01  1.000e+00    -0.006
 62200   -14.454  0.900  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 62400   -12.380  0.950  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 62600   -16.175  0.875  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 62800    -9.705  0.950  9.998e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 63000   -13.595  0.925  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 63200   -11.636  0.925  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 63400    -9.682  0.900  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 63600    -9.192  0.825  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 63800   -10.851  0.925  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 64000   -16.943  0.950  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 64200   -14.588  1.000  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 64400    -8.454  0.925  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 64600   -11.939  0.950  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 64800   -12.835  0.925  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 65000   -12.280  0.925  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 65200   -17.590  0.950  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 65400   -15.167  0.825  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 65600   -11.216  0.975  1.000e+00  1.000e+00    -0.006  9.997e-01  1.000e+00    -0.006
 65800   -11.675  0.850  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
 66000   -11.141  0.950  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 66200   -12.361  0.975  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 66400   -15.084  0.925  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 66600    -8.796  0.925  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 66800    -9.074  0.950  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 67000    -9.331  0.975  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 67200    -7.890  1.000  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 67400    -6.545  0.900  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 67600   -10.256  0.900  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 67800   -13.455  0.950  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 68000   -10.314  0.925  9.996e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 68200   -19.900  0.900  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 68400   -15.985  0.875  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 68600   -15.132  0.925  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 68800   -13.024  0.950  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 69000   -12.660  0.975  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 69200   -12.722  0.950  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 69400   -11.497  0.950  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 69600   -15.423  0.875  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 69800   -21.510  0.875  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 70000   -14.556  0.975  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 70200   -16.361  0.925  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 70400   -15.346  0.875  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 70600   -13.355  0.975  1.000e+00  1.000e+00    -0.005  9.999e-01  1.000e+00    -0.005
 70800   -13.427  0.875  1.000e+00  1.000e+00    -0.005  9.998e-01  1.000e+00    -0.005
 71000   -15.209  0.950  1.000e+00  1.000e+00    -0.005  9.999e-01  1.000e+00    -0.005
 71200   -14.834  0.875  1.000e+00  1.000e+00    -0.005  1.000e+00  1.000e+00    -0.005
 71400   -15.877  0.775  9.999e-01  1.000e+00    -0.005  1.000e+00  1.000e+00    -0.005
 71600   -12.752  0.950  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 71800   -11.517  0.950  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 72000   -17.286  0.850  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 72200   -14.970  0.950  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 72400    -8.169  0.925  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 72600   -12.736  0.875  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 72800   -11.660  0.950  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 73000    -5.893  1.000  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 73200   -13.425  0.950  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 73400   -14.896  0.925  9.998e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 73600   -11.545  0.975  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 73800    -7.727  0.950  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 74000    -8.448  0.900  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 74200   -17.541  0.875  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 74400    -9.070  0.950  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 74600   -11.935  0.950  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 74800   -14.192  0.950  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 75000    -7.819  0.900  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 75200   -10.799  0.950  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 75400   -16.670  0.900  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 75600   -14.223  0.800  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 75800   -17.779  0.850  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
 76000   -13.298  0.925  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 76200   -17.453  0.875  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 76400   -15.478  0.825  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 76600   -14.513  0.850  9.998e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 76800   -17.895  0.750  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 77000    -7.764  0.875  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 77200   -20.859  0.900  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 77400   -14.749  0.900  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 77600   -11.394  0.975  1.001e+00  1.000e+00    -0.007  9.995e-01  1.000e+00    -0.007
 77800   -13.304  0.900  9.996e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 78000   -10.552  0.975  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 78200    -8.104  0.975  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 78400    -9.558  0.950  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
 78600   -19.534  0.875  1.000e+00  1.000e+00    -0.007  9.998e-01  1.000e+00    -0.007
 78800   -17.733  0.850  9.997e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 79000   -13.989  0.900  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 79200   -16.966  0.825  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
 79400   -14.832  0.900  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 79600   -10.693  0.975  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 79800   -11.830  0.925  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 80000   -13.407  0.950  9.998e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 80200   -14.750  0.850  9.998e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 80400   -18.006  0.850  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 80600   -14.619  0.825  1.000e+00  1.000e+00    -0.007  9.998e-01  1.000e+00    -0.007
 80800   -16.201  0.900  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 81000   -14.188  0.950  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 81200   -14.265  0.850  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
 81400   -10.681  0.925  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 81600   -13.036  0.925  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 81800   -18.789  0.875  9.997e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 82000   -14.346  0.950  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 82200   -14.494  0.900  1.000e+00  1.000e+00    -0.007  9.998e-01  1.000e+00    -0.007
 82400   -10.646  0.900  9.995e-01  1.000e+00    -0.007  1.001e+00  1.000e+00    -0.007
 82600   -11.098  0.925  1.000e+00  1.000e+00    -0.007  9.998e-01  1.000e+00    -0.007
 82800    -8.514  1.000  1.000e+00  1.000e+00    -0.008  9.999e-01  1.000e+00    -0.008
 83000   -10.544  0.950  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 83200    -9.930  0.975  9.999e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 83400    -8.047  0.900  9.999e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 83600   -10.972  0.875  9.999e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 83800   -13.153  0.850  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 84000    -9.110  0.900  9.998e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 84200   -10.569  0.950  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 84400   -10.510  0.950  9.999e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 84600   -19.000  0.875  1.000e+00  1.000e+00    -0.008  9.999e-01  1.000e+00    -0.008
 84800   -13.707  0.850  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 85000   -17.389  0.925  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 85200   -14.690  0.925  9.998e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 85400   -17.983  0.875  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 85600   -20.932  0.900  9.999e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 85800   -13.013  0.925  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 86000    -8.433  0.975  9.999e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 86200    -9.971  0.875  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 86400   -12.751  0.950  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 86600   -12.430  0.925  1.000e+00  1.000e+00    -0.008  9.999e-01  1.000e+00    -0.008
 86800    -6.666  0.975  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 87000   -11.198  0.900  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 87200    -9.830  1.000  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 87400   -11.759  0.975  9.998e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 87600   -12.708  0.825  1.000e+00  1.000e+00    -0.008  9.997e-01  1.000e+00    -0.008
 87800   -15.575  0.925  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 88000   -15.764  0.925  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 88200    -9.922  0.975  1.000e+00  1.000e+00    -0.008  9.999e-01  1.000e+00    -0.008
 88400   -15.112  0.825  1.000e+00  1.000e+00    -0.008  9.999e-01  1.000e+00    -0.008
 88600    -8.957  0.925  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 88800   -12.420  0.975  1.001e+00  1.000e+00    -0.008  9.993e-01  1.000e+00    -0.008
 89000    -9.881  0.925  9.999e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
 89200   -10.580  0.900  1.000e+00  1.000e+00    -0.008  9.999e-01  1.000e+00    -0.008
 89400   -14.762  0.925  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 89600   -11.408  0.900  1.000e+00  1.000e+00    -0.007  9.997e-01  1.000e+00    -0.007
 89800   -16.035  0.900  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 90000   -11.640  0.900  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 90200   -14.493  0.850  1.000e+00  1.000e+00    -0.007  9.998e-01  1.000e+00    -0.007
 90400   -14.451  0.975  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
 90600   -14.362  0.975  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 90800   -15.306  0.850  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
 91000   -13.804  0.950  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 91200    -8.072  0.950  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
 91400    -8.928  0.975  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 91600    -8.795  0.975  1.000e+00  1.000e+00    -0.007  9.997e-01  1.000e+00    -0.007
 91800    -9.362  0.925  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 92000   -16.758  0.950  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 92200   -15.732  0.900  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 92400   -10.680  0.925  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 92600   -13.905  0.925  9.998e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 92800   -17.208  0.900  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 93000   -16.718  0.675  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 93200   -14.267  0.900  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 93400   -15.558  0.900  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 93600   -14.181  0.950  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 93800    -9.095  0.975  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 94000    -8.206  0.925  9.997e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 94200   -11.809  0.975  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
 94400   -13.508  1.000  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 94600   -13.804  0.900  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 94800   -14.714  0.975  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 95000   -20.525  0.850  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
 95200   -23.680  0.875  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 95400   -19.813  0.925  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 95600   -17.052  0.825  9.998e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 95800   -12.470  0.875  9.998e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 96000   -12.839  0.950  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 96200   -19.374  0.900  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 96400   -14.408  0.925  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 96600   -13.610  0.925  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 96800   -12.144  0.850  1.000e+00  1.000e+00    -0.006  9.998e-01  1.000e+00    -0.006
 97000   -16.040  0.925  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 97200   -15.731  0.825  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 97400   -12.035  0.900  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 97600   -14.836  0.900  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 97800   -14.999  0.850  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 98000   -15.743  0.775  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 98200    -8.380  0.950  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 98400   -10.678  1.000  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
 98600   -10.420  1.000  9.999e-01  1.000e+00    -0.005  1.000e+00  1.000e+00    -0.005
 98800   -13.551  0.975  9.997e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 99000   -10.363  0.850  1.000e+00  1.000e+00    -0.005  9.995e-01  1.000e+00    -0.005
 99200   -13.862  0.975  9.999e-01  1.000e+00    -0.005  1.000e+00  1.000e+00    -0.005
 99400   -12.338  0.975  1.000e+00  1.000e+00    -0.005  1.000e+00  1.000e+00    -0.005
 99600   -11.703  1.000  1.000e+00  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
 99800   -10.276  0.950  1.000e+00  1.000e+00    -0.005  1.000e+00  1.000e+00    -0.005
100000   -10.705  0.975  1.000e+00  1.000e+00    -0.005  9.998e-01  1.000e+00    -0.005

gamma(area increase) = -0.005447
gamma(area decrease) = -0.005449
mean: -13.919068
std: 0.3052171505203194
