# Simulation Parameters
# Box dimensions: 3 x 12 x 3
# Temperature: 0.8
# Total steps: 10000
# Log interval: 100
# Max displacement: 0.125
# Distortions: d1=(0.999995,1.00001,0.999995), d2=(1.000005,0.99999,1.000005)
# Reset sampling at: [10, 2000, 5000]
# Console freq: 50
# Trajectory freq/file: 100/data/vle-small_trajectory.xyz

# step   E_pot     acc     w1        avg1      gamma1    w2        avg2      gamma2
  6300   -85.589  0.600  9.997e-01  9.998e-01    -0.734  1.000e+00  1.000e+00    -0.734
  6400   -85.229  0.667  9.998e-01  9.998e-01    -0.744  1.000e+00  1.000e+00    -0.744
  6500   -80.568  0.500  1.000e+00  9.998e-01    -0.733  9.998e-01  1.000e+00    -0.733
  6600   -89.936  0.567  1.000e+00  9.998e-01    -0.728  9.999e-01  1.000e+00    -0.728
  6700   -81.815  0.533  9.994e-01  9.998e-01    -0.751  1.001e+00  1.000e+00    -0.751
  6800   -72.751  0.467  9.997e-01  9.998e-01    -0.779  1.000e+00  1.000e+00    -0.779
  6900   -73.309  0.700  9.996e-01  9.998e-01    -0.802  1.000e+00  1.000e+00    -0.802
  7000   -82.185  0.733  9.997e-01  9.998e-01    -0.764  1.000e+00  1.000e+00    -0.764
  7100   -80.164  0.700  1.000e+00  9.998e-01    -0.757  1.000e+00  1.000e+00    -0.757
  7200   -73.239  0.467  9.990e-01  9.998e-01    -0.753  1.001e+00  1.000e+00    -0.753
  7300   -86.809  0.600  9.998e-01  9.998e-01    -0.756  1.000e+00  1.000e+00    -0.756
  7400   -77.903  0.567  9.998e-01  9.998e-01    -0.749  1.000e+00  1.000e+00    -0.749
  7500   -76.507  0.533  9.995e-01  9.998e-01    -0.737  1.001e+00  1.000e+00    -0.737
  7600   -76.040  0.733  9.995e-01  9.998e-01    -0.751  1.001e+00  1.000e+00    -0.751
  7700   -78.092  0.700  9.998e-01  9.998e-01    -0.752  1.000e+00  1.000e+00    -0.752
  7800   -77.241  0.767  9.996e-01  9.998e-01    -0.743  1.000e+00  1.000e+00    -0.743
  7900   -76.879  0.567  9.998e-01  9.998e-01    -0.728  1.000e+00  1.000e+00    -0.728
  8000   -86.800  0.733  9.999e-01  9.998e-01    -0.701  1.000e+00  1.000e+00    -0.701
  8100   -89.523  0.533  9.998e-01  9.998e-01    -0.701  1.000e+00  1.000e+00    -0.701
  8200   -88.027  0.600  9.995e-01  9.998e-01    -0.723  1.000e+00  1.000e+00    -0.723
  8300   -86.180  0.667  1.000e+00  9.998e-01    -0.758  9.997e-01  1.000e+00    -0.758
  8400   -89.842  0.700  1.000e+00  9.998e-01    -0.744  9.998e-01  1.000e+00    -0.744
  8500  -103.290  0.667  1.001e+00  9.998e-01    -0.755  9.994e-01  1.000e+00    -0.755
  8600   -84.020  0.600  1.000e+00  9.998e-01    -0.733  1.000e+00  1.000e+00    -0.733
  8700   -82.276  0.667  9.997e-01  9.998e-01    -0.740  1.000e+00  1.000e+00    -0.740
  8800   -85.019  0.533  1.000e+00  9.998e-01    -0.725  9.998e-01  1.000e+00    -0.725
  8900   -84.144  0.533  1.000e+00  9.998e-01    -0.730  9.995e-01  1.000e+00    -0.730
  9000   -92.977  0.567  9.991e-01  9.998e-01    -0.743  1.001e+00  1.000e+00    -0.743
  9100   -92.437  0.567  9.992e-01  9.998e-01    -0.754  1.001e+00  1.000e+00    -0.754
  9200   -90.149  0.500  1.000e+00  9.998e-01    -0.767  9.998e-01  1.000e+00    -0.766
  9300   -89.420  0.300  1.000e+00  9.998e-01    -0.766  9.996e-01  1.000e+00    -0.766
  9400   -96.612  0.433  9.993e-01  9.998e-01    -0.790  1.001e+00  1.000e+00    -0.790
  9500   -86.127  0.533  9.988e-01  9.998e-01    -0.792  1.001e+00  1.000e+00    -0.792
  9600   -95.731  0.633  1.000e+00  9.998e-01    -0.793  9.999e-01  1.000e+00    -0.793
  9700   -97.972  0.300  9.994e-01  9.998e-01    -0.805  1.001e+00  1.000e+00    -0.805
  9800   -99.049  0.500  9.998e-01  9.998e-01    -0.831  1.000e+00  1.000e+00    -0.831
  9900   -94.541  0.600  9.997e-01  9.998e-01    -0.832  1.000e+00  1.000e+00    -0.832
 10000   -89.122  0.367  9.997e-01  9.998e-01    -0.841  1.000e+00  1.000e+00    -0.841

gamma(area increase) = -0.841128
gamma(area decrease) = -0.841045
